file_name,timestamp,dataset,run_cache_mode,warmup_runs,engine,base_count,query_count,packing_strategy,hotpath_train_queries,hotpath_unique_visited_nodes,hotpath_top_node_visit_count,search_width,search_early_stop_min_expansions,adaptive_early_stop,early_stop_patience,early_stop_eps,min_expansions,max_expansions,cache_policy,path_cache_policy,pq_enable,pq_m,pq_ks,pq_code_bytes_per_vector,pq_train_seconds,adc_enable,adc_table_build_us_avg,rerank_topk,io_mode,io_mode_effective,io_direct_enabled,io_uring_enabled,io_fallback_reason,recall_at_10,qps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,ssd_reads_per_query_avg,ssd_reads_per_query_p95,ssd_reads_per_query_p99,graph_expanded_per_query_avg,graph_expanded_per_query_p95,graph_expanded_per_query_p99,graph_visited_per_query_avg,graph_visited_per_query_p95,graph_visited_per_query_p99,io_submit_count_per_query_avg,io_complete_count_per_query_avg,io_batch_size,io_amplification_reads_per_result,page_cache_hit_rate,memory_budget_ratio,memory_budget_bytes,memory_budget_bytes_user,memory_budget_enforced,memory_over_budget_allowed,memory_resident_bytes,memory_resident_ratio,memory_budget_pass,memory_mode,memory_accounting_scope,memory_bytes_raw_vectors,memory_bytes_raw_vectors_resident,memory_bytes_pq_codes,memory_bytes_pq_codebooks,memory_bytes_graph_metadata,memory_bytes_cache,memory_bytes_path_cache,memory_bytes_router,memory_bytes_delta,memory_bytes_tombstone,memory_bytes_temporary_peak,memory_compression_ratio,elapsed_seconds,index_build_seconds,index_size_bytes
sift-local-exact-20260529-135239.txt,sift-local-exact-20260529-135239,,,,exact,10000,100,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000,2951.2263,0.3388,0.3283,0.4346,0.5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0339,,
sift-local-exact-win-sift100k-full-20260602.txt,sift-local-exact-win-sift100k-full-20260602,sift100k,smoke,0,exact,100000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0000,164.2455,6.0884,5.9091,8.1863,9.6533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0884,,
sift-local-graph-20260529-135459.txt,sift-local-graph-20260529-135459,,,1,graph,10000,100,coaccess,,,,128,,,,,,,agent,reuse,,,,,,,,,,,,,,0.9790,52.2462,19.1395,15.9129,37.3605,78.6439,142.1700,218.4500,237.1300,96.0000,96.0000,96.0000,466.5600,663.8000,705.1600,,,,14.2170,0.2419,,,,,,,,,,,,,,,,,,,,,,,1.9140,,
sift-local-graph-20260529-135848.txt,sift-local-graph-20260529-135848,,,0,graph,10000,1000,coaccess,,,,192,,,,,,,none,none,,,,,,,,,,,,,,0.9856,25.5771,39.0966,27.1434,119.4615,244.2143,283.7450,395.0500,426.0000,192.0000,192.0000,192.0000,801.2170,1095.0500,1179.0500,,,,28.3745,0.0000,,,,,,,,,,,,,,,,,,,,,,,39.0974,,
sift-local-graph-approx-20260529-142028.txt,sift-local-graph-approx-20260529-142028,,,0,graph,10000,100,bfs,,,,192,,,,,,,none,none,,,,,,,,,,,,,,0.9710,383.3234,2.6084,2.5314,3.7872,4.1033,384.7500,532.1000,565.1100,192.0000,192.0000,192.0000,1036.9200,1450.7500,1567.4600,,,,38.4750,0.0000,,,,,,,,,,,,,,,,,,,,,,,0.2609,,
sift-local-graph-approx-r32-20260529-142059.txt,sift-local-graph-approx-r32-20260529-142059,,,0,graph,10000,100,bfs,,,,256,,,,,,,none,none,,,,,,,,,,,,,,0.9980,272.2257,3.6732,3.7308,5.0636,5.6707,552.5900,725.1500,762.0100,256.0000,256.0000,256.0000,1665.4500,2402.7500,2616.0200,,,,55.2590,0.0000,,,,,,,,,,,,,,,,,,,,,,,0.3673,,
sift-local-graph-nocache-20260529-135634.txt,sift-local-graph-nocache-20260529-135634,,,0,graph,10000,100,coaccess,,,,128,,,,,,,none,none,,,,,,,,,,,,,,0.9790,692.9056,1.4431,1.4067,2.1199,3.4515,218.5600,325.0500,348.0800,128.0000,128.0000,128.0000,569.5700,819.0500,848.4300,,,,21.8560,0.0000,,,,,,,,,,,,,,,,,,,,,,,0.1443,,
sift-local-graph-width192-20260529-135711.txt,sift-local-graph-width192-20260529-135711,,,0,graph,10000,100,coaccess,,,,192,,,,,,,none,none,,,,,,,,,,,,,,0.9890,570.3869,1.7530,1.8195,2.5407,2.7978,265.2900,384.3500,406.1900,192.0000,192.0000,192.0000,745.8400,1062.4500,1094.7100,,,,26.5290,0.0000,,,,,,,,,,,,,,,,,,,,,,,0.1753,,
sift-local-graph-win-adaptive-smoke-20260602.txt,sift-local-graph-win-adaptive-smoke-20260602,,,0,graph,10000,100,bfs,200,,,192,0,1,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9980,92.8972,10.7638,10.6310,17.0161,19.1791,379.6900,549.1000,578.1400,64.6700,64.5500,78.0200,818.9000,1194.1000,1277.3000,379.6900,379.6900,1,37.9690,0.0000,,,,,,,,,,,5120000,,0,,,,,,,,,0,1.0765,,6873088
sift-local-graph-win-hotpath-smoke-20260602.txt,sift-local-graph-win-hotpath-smoke-20260602,,,0,graph,10000,100,hotpath,100,9703,100,128,64,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9980,65.8301,15.1898,14.9299,22.3927,30.1505,505.8900,739.0500,788.3300,64.0100,64.0000,64.0100,814.7100,1150.9000,1199.6800,505.8900,505.8900,1,50.5890,0.0000,,,,,,,,,,,5120000,,0,,,,,,,,,0,1.5191,1.39354,6873088
sift-local-graph-win-io-uring-fallback-smoke-20260602.txt,sift-local-graph-win-io-uring-fallback-smoke-20260602,sift10k,smoke,0,graph,10000,100,bfs,200,,,128,64,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,io_uring,pread,0,0,io_uring_interface_available_but_native_backend_not_implemented,0.9980,335.6883,2.9787,2.9548,4.5811,5.3848,378.7400,549.1000,562.1600,64.0100,64.0000,64.0100,814.7100,1150.9000,1199.6800,378.7400,378.7400,8,37.8740,0.0000,,,,,,,,,,,5120000,,0,,,,,,,,,0,0.2979,,6873088
sift-local-graph-win-odirect-fallback-smoke-20260602.txt,sift-local-graph-win-odirect-fallback-smoke-20260602,,,0,graph,10000,20,bfs,200,,,128,64,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,odirect,pread,0,0,odirect_interface_available_but_native_backend_not_implemented,0.9950,215.5790,4.6383,4.3289,7.1043,7.3100,406.1000,510.0500,541.2100,64.0500,64.0500,64.8100,857.5000,1119.2000,1183.0400,406.1000,406.1000,1,40.6100,0.0000,,,,,,,,,,,5120000,,0,,,,,,,,,0,0.0928,,6873088
sift-local-graph-win-pq-adc-rerank-smoke-20260602.txt,sift-local-graph-win-pq-adc-rerank-smoke-20260602,,,0,graph,10000,100,bfs,200,,,128,64,0,16,0.001,64,192,none,none,1,8,256,8,1.32107,1,103.7430,64,pread,pread,0,0,,0.9620,85.2758,11.7255,11.8115,18.1602,21.6874,388.7700,547.7000,583.0500,64.1400,65.0000,66.0000,843.5100,1183.4000,1250.1000,388.7700,388.7700,1,38.8770,0.0000,,,,,,,,,,,5120000,,80000,,,,,,,,,64,1.1727,,6873088
sift-local-graph-win-pq-adc-rerank64-sequential-smoke-20260602.txt,sift-local-graph-win-pq-adc-rerank64-sequential-smoke-20260602,sift10k,smoke,0,graph,10000,100,bfs,200,,,128,64,0,16,0.001,64,192,none,none,1,8,256,8,0.346376,1,21.5140,64,pread,pread,0,0,,0.9620,389.6484,2.5660,2.6601,3.7467,4.7913,388.7700,547.7000,583.0500,64.1400,65.0000,66.0000,843.5100,1183.4000,1250.1000,388.7700,388.7700,1,38.8770,0.0000,,,,,,,,,,,5120000,,80000,,,,,,,,,64,0.2566,,6873088
sift-local-graph-win-pq-adc-smoke-20260602.txt,sift-local-graph-win-pq-adc-smoke-20260602,sift10k,smoke,0,graph,10000,100,bfs,200,,,128,64,0,16,0.001,64,192,none,none,1,8,256,8,0.33115,1,31.1520,0,pread,pread,0,0,,0.5760,291.9099,3.4255,3.4266,5.2068,7.4577,388.4400,547.7000,583.0500,64.0000,64.0000,64.0000,842.2400,1183.4000,1250.0100,388.4400,388.4400,1,38.8440,0.0000,,,,,,,,,,,5120000,,80000,,,,,,,,,64,0.3426,,6873088
sift-local-graph-win-sift100k-full-w1024-m192-20260602.txt,sift-local-graph-win-sift100k-full-w1024-m192-20260602,sift100k,smoke,0,graph,100000,1000,bfs,200,,,1024,192,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9651,31.5805,31.6642,25.7918,63.8788,84.8826,1998.5390,2898.0000,3124.2300,192.0010,192.0000,192.0000,3307.9710,4461.6000,4715.1000,1998.5390,1998.5390,1,199.8539,0.0000,,,,,,,,,,,51200000,,0,,,,,,,,,0,31.6651,,68673536
sift-local-graph-win-sift100k-full-w128-m64-20260602.txt,sift-local-graph-win-sift100k-full-w128-m64-20260602,sift100k,smoke,0,graph,100000,1000,bfs,200,0,0,128,64,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.8563,108.3395,9.2298,9.0785,14.4930,17.0001,1132.5090,1506.0500,1579.0700,64.0380,64.0000,65.0000,1565.9980,1911.0000,1965.1500,1132.5090,1132.5090,1,113.2509,0.0000,,,,,,,,,,,51200000,,0,,,,,,,,,0,9.2302,6.58155,68673536
sift-local-graph-win-sift100k-full-w256-m96-20260602.txt,sift-local-graph-win-sift100k-full-w256-m96-20260602,sift100k,smoke,0,graph,100000,1000,bfs,200,,,256,96,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9085,86.7212,11.5307,11.3626,18.0971,21.8221,1404.6090,1942.1500,2056.0100,96.0110,96.0000,97.0000,2064.7800,2615.1000,2719.1000,1404.6090,1404.6090,1,140.4609,0.0000,,,,,,,,,,,51200000,,0,,,,,,,,,0,11.5312,,68673536
sift-local-graph-win-sift100k-full-w512-m128-20260602.txt,sift-local-graph-win-sift100k-full-w512-m128-20260602,sift100k,smoke,0,graph,100000,1000,bfs,200,,,512,128,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9404,74.3867,13.4427,13.2721,21.4470,24.2162,1630.9750,2313.0500,2459.0100,128.0110,128.0000,129.0000,2512.9860,3268.3500,3448.0100,1630.9750,1630.9750,1,163.0975,0.0000,,,,,,,,,,,51200000,,0,,,,,,,,,0,13.4433,,68673536
sift-local-graph-win-sift100k-full-w768-m160-20260602.txt,sift-local-graph-win-sift100k-full-w768-m160-20260602,sift100k,smoke,0,graph,100000,1000,bfs,200,,,768,160,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9553,70.9621,14.0915,14.0233,22.6806,27.0958,1826.7430,2630.2500,2812.0500,160.0080,160.0000,160.0000,2925.7920,3887.7000,4090.0100,1826.7430,1826.7430,1,182.6743,0.0000,,,,,,,,,,,51200000,,0,,,,,,,,,0,14.0920,,68673536
sift-local-graph-win-sift10k-full-w128-m64-20260602.txt,sift-local-graph-win-sift10k-full-w128-m64-20260602,sift10k,smoke,0,graph,10000,1000,bfs,200,0,0,128,64,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9866,314.6804,3.1775,3.0780,4.9411,5.7767,403.4100,551.0000,589.0200,64.0030,64.0000,64.0000,872.2520,1181.0000,1240.0100,403.4100,403.4100,1,40.3410,0.0000,,,,,,,,,,,5120000,,0,,,,,,,,,0,3.1778,0.369387,6873088
sift-local-graph-win-smoke-20260602.txt,sift-local-graph-win-smoke-20260602,,,0,graph,10000,100,bfs,200,0,0,128,64,0,16,0.001,64,192,none,none,0,8,256,0,0,0,0.0000,0,pread,pread,0,0,,0.9980,307.0676,3.2563,3.3039,4.7791,5.3552,378.7400,549.1000,562.1600,64.0100,64.0000,64.0100,814.7100,1150.9000,1199.6800,378.7400,378.7400,1,37.8740,0.0000,,,,,,,,,,,5120000,,0,,,,,,,,,0,0.3257,0.392927,6873088
